"","Assignment_Group","TITLE"
"48","F161 Sys. Mgm. EDW","JOB EGD240L6 (EGPKTOSALDO.0046.04071800.0008) ENDED IN ERROR 0008 tiludv"
"49","F161 Sys. Mgm. EDW","DB2-Maxlimits EW00015D.EW00093S 60"
"50","F161 Sys. Mgm. EDW","DB2-Maxlimits BY00001D.BY00083S 42"
"51","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCCRD2S (ZWPADHOCNONCM.0120.08010700.JCL) ENDED IN ERROR JCL tiludv"
"52","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFCUM3 (ZWPDGFTPCORR.0045.10040600.0012) ENDED IN ERROR 0012 tiludv"
"53","F162 Sys. Mgm. Quality Assurance","JOB QWCYRH05 (EWPCPYRH05.0005.01121800.JCL) ENDED IN ERROR JCL tiludv"
"54","F162 Sys. Mgm. Quality Assurance","JOB QWCQNL10 (EWPSAKNL10.0005.07121800.U007) ENDED IN ERROR U007 tiludv"
"55","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCPMN17 (ZWCULPRODMAN.0090.01130600.JCL) ENDED IN ERROR JCL"
"56","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFVY3L (ZWCDGFAKORZPA.0112.01300600.JCLI) ENDED IN ERROR JCLI"
"57","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCEVSM5 (ZWCDGFACTSIEX.0050.04090600.0012) ENDED IN ERROR 0012 tiludv"
"58","F163 Sys. Mgm. EDW Infrastructure","Z1DBPO11I DEPLMSTR  DSNR035I  -DEPL D"
"59","F161 Sys. Mgm. EDW","JOB EWCSHB08 (EWPSAKHB08.0010.01201800.U02B) ENDED IN ERROR U02B tiludv"
"60","F161 Sys. Mgm. EDW","JOB EWCSFR08 (EWPSACFR08.0015.02291800.1012) ENDED IN ERROR 1012"
"61","F161 Sys. Mgm. EDW","JOB EWCSNL28 (EWPSAKNL28.0010.06301800.U0DE) ENDED IN ERROR U0DE tiludv"
"62","F161 Sys. Mgm. EDW","JOB EGC21D25 (EGP21000DAGLIG.0065.10311800.0012) ENDED IN ERROR 0012 tiludv"
"63","F161 Sys. Mgm. EDW","JOB EWC4ER00 (EWC1ER00ZPA.0025.06021800.0012) ENDED IN ERROR 0012 tiludv"
"64","F162 Sys. Mgm. Quality Assurance","JOB QWCQK510 (EWPSAKK510.0005.01011800.JCL) ENDED IN ERROR JCL tiludv"
"65","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCDDY2K (ZWPDGNYDEFZPA.0050.04090600.0012) ENDED IN ERROR 0012 tiludv"
"66","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCRWK3K (ZWCFACTCRDRWA.0248.04130700.0012) ENDED IN ERROR 0012 tiludv"
"67","F163 Sys. Mgm. EDW Infrastructure","Missing update of KUNDE_GRP on ZW_KUNGRP_H + Missing ""LUKKET_MK"" on ZW_KUNDE_MST"
"68","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFAUNL (ZWCDGFACZPA.0126.04190600.U053) ENDED IN ERROR U053"
"69","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCUPD24 (ZWCDGKCTOP2ZPA.0105.08040600.S04E) ENDED IN ERROR S04E tiludv"
"70","F163 Sys. Mgm. EDW Infrastructure","JOB K5CUNI50 (K5PKOB2DWINIT.0005.02151800.SB37) ENDED IN ERROR SB37 tiludv"
"71","F162 Sys. Mgm. Quality Assurance","JOB QWCF0210 (QWPENDTOEND.0095.08040600.JCL) ENDED IN ERROR JCL tiludv"
"72","F162 Sys. Mgm. Quality Assurance","JOB QWCQDX31 (EWPSAKDX31.0005.10111800.JCL) ENDED IN ERROR JCL tiludv"
"73","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFTLB1 (ZWCDGFACZPA.0006.01200600.0012) ENDED IN ERROR 0012 tiludv"
"74","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCLIA68 (ZWCINDFTILG2.0120.01200600.U005) ENDED IN ERROR U005"
"75","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCKKM05 (ZWPKRKREDOVTKT.0010.02031500.0012) ENDED IN ERROR 0012 tiludv"
"76","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCLGD30 (ZWPRWALGDREGPD.0005.02030600.OJCV) ENDED IN ERROR OJCV"
"77","F161 Sys. Mgm. EDW","JOB EWCSFI12 (EWPSAKFI12.0010.04060600.0012) ENDED IN ERROR 0012 tiludv"
"78","F161 Sys. Mgm. EDW","JOB EGC21D22 (EGP21000DAGLIG.0062.04291800.0012) ENDED IN ERROR 0012 tiludv"
"79","F161 Sys. Mgm. EDW","JOB EWC73210 (EWC73000ZPANY.0084.06301800.0012) ENDED IN ERROR 0012 tiludv"
"80","F161 Sys. Mgm. EDW","JOB EWCSI311 (EWPSAKI311.0010.08181800.1008) ENDED IN ERROR 1008 tiludv"
"81","F161 Sys. Mgm. EDW","DB2-Maxlimits EW00013D.EW00092S - EWWH_IP_MARK_H - 23 - 3.01 GB"
"82","F161 Sys. Mgm. EDW","JOB EWC781SO (EWC78100WE.0005.01061800.JCL) ENDED IN ERROR JCL tiludv"
"83","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCEVCR4 (ZWCDGTEMP.0010.05200800.CAN) ENDED IN ERROR CAN tiludv"
"84","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCKKY41 (ZWPULKREDKUN.0090.07100600.0012) ENDED IN ERROR 0012 tiludv"
"85","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCLGF08 (ZWPDGLGDSBK.0025.03040600.0012) ENDED IN ERROR 0012 tiludv"
"86","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCKM5PM (ZWPULKREDKUNSEG.0025.03040600.0012) ENDED IN ERROR 0012"
"87","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCRFS50 (ZWCDGSASTILG2.0095.04270600.0016) ENDED IN ERROR 0016 tiludv"
"88","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCDCSX1 (ZWCULFACTINK.0005.05030600.0012) ENDED IN ERROR 0012 tiludv"
"89","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFVN61 (ZWCDGFAKORZPA.0082.11260600.0012) ENDED IN ERROR 0012 tiludv"
"90","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCSIKHT (ZWCDGSHEDZPA.0130.02180600.0012) ENDED IN ERROR 0012 tiludv"
"91","F161 Sys. Mgm. EDW","JOB EWCBYB70 (WDPDELVAPP070.0015.12290339.1012) ENDED IN ERROR 1012 tiludv"
"92","F161 Sys. Mgm. EDW","JOB EWCRAC78 (EWPSACAC78.0010.01251800.1706) ENDED IN ERROR 1706 tiludv"
"93","F162 Sys. Mgm. Quality Assurance","JOB QWCFEH10 (QWPFEG10W.0005.04090600.U3E7) ENDED IN ERROR U3E7 tiludv"
"94","F162 Sys. Mgm. Quality Assurance","JOB QWCFES11 (QWPFEG10W.0050.04090600.U3E7) ENDED IN ERROR U3E7 tiludv"
"95","F162 Sys. Mgm. Quality Assurance","JOB QWCDFPRI (QWPDFPRIZPA.0015.07160600.1020) ENDED IN ERROR 1020 tiludv"
"96","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCLT184 (ZWCELLTVPRI.0125.02100600.S222) ENDED IN ERROR S222 tiludv"
"97","F161 Sys. Mgm. EDW","JOB EWCSDW92 (EWPSAKDW35.0010.01201800.U02B) ENDED IN ERROR U02B tiludv"
"98","F161 Sys. Mgm. EDW","JOB EWCSBJ05 (EWPSAKBJ05.0015.01271800.JCL) ENDED IN ERROR JCL tiludv"
"99","F161 Sys. Mgm. EDW","JOB EGC21D31 (EGP21000DAGLIG.0071.04291800.0012) ENDED IN ERROR 0012 tiludv"
"100","F161 Sys. Mgm. EDW","JOB EWCRSI09 (EWPSAKSR09.0005.05201800.0012) ENDED IN ERROR 0012 tiludv"
"101","F161 Sys. Mgm. EDW","JOB EWCST400 (EWPTOPDANMARKMD.0005.05050101.1409) ENDED IN ERROR 1409 tiludv"
"102","F161 Sys. Mgm. EDW","JOB EWC5F104 (EWC1F100ZPA.0104.10021800.0012) ENDED IN ERROR 0012 tiludv"
"103","F161 Sys. Mgm. EDW","JOB EGC20103 (EGC20100ZPA.0015.12011800.0012) ENDED IN ERROR 0012 tiludv"
"104","F161 Sys. Mgm. EDW","JOB EWCSDX18 (EWPSAKDX18.0010.01021800.JCL) ENDED IN ERROR JCL tiludv"
"105","F162 Sys. Mgm. Quality Assurance","JOB QWCF0355 (QWPFCREDCOCD.0040.03100705.JCL) ENDED IN ERROR JCL tiludv"
"106","F162 Sys. Mgm. Quality Assurance","JOB QWCF0200 (QWPENDTOEND.0060.04110600.U3E7) ENDED IN ERROR U3E7 tiludv"
"107","F162 Sys. Mgm. Quality Assurance","JOB QWCQOD01 (EWPSAKOD01.0005.07151800.1020) ENDED IN ERROR 1020 tiludv"
"108","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFPK2D (ZWCULFAKNPV.0060.04011100.JCL) ENDED IN ERROR JCL tiludv"
"109","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFPK2D (ZWCULFAKNPV.0060.05041100.JCL) ENDED IN ERROR JCL"
"110","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCEVC03 (ZWCDGFACTSIPMCON.0010.12230600.JCL) ENDED IN ERROR JCL tiludv"
"111","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCEVC02 (ZWCDGFACTSIPMRWA.0010.12230600.JCL) ENDED IN ERROR JCL tiludv"
"112","F162 Sys. Mgm. Quality Assurance","JOB QWCQAC05 (EWPSAKAC05.0003.12251800.1020) ENDED IN ERROR 1020 tiludv"
"113","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCKOMB1 (ZWCDGKUNDEZPA.0054.12260600.0014) ENDED IN ERROR 0014 tiludv"
"114","F161 Sys. Mgm. EDW","JOB EWCSSA00 (EWPSACSA00.0010.01040530.0012) ENDED IN ERROR 0012 tiludv"
"115","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCINFE1 (ZWCDGINKFACILITY.0045.01020600.S322) ENDED IN ERROR S322 tiludv"
"116","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCLT145 (ZWCELLTVPRI.0030.01060600.JCL) ENDED IN ERROR JCL tiludv"
"117","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFPK26 (ZWCULFAKNPV.0030.01080600.0012) ENDED IN ERROR 0012 tiludv"
"118","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFKRD2 (ZWPULFAK1RDNEW.0010.01080600.0012) ENDED IN ERROR 0012 tiludv"
"119","F161 Sys. Mgm. EDW","JOB EWCSZU01 (EWPSAKZU01.0010.01091800.0012) ENDED IN ERROR 0012"
"120","F163 Sys. Mgm. EDW Infrastructure","Missing global_id"
"121","F161 Sys. Mgm. EDW","JOB EWCRAC18 (EWPSACAC18.0010.01111800.1613) ENDED IN ERROR 1613 tiludv"
"122","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCLO182 (ZWCULFAKSILORWA.0005.01120600.0008) ENDED IN ERROR 0008 tiludv"
"123","F162 Sys. Mgm. Quality Assurance","JOB QWCDFPCO (QWPDGFTPCORR.0005.01180600.1020) ENDED IN ERROR 1020 tiludv"
"124","F161 Sys. Mgm. EDW","JOB QWCQRW29 (EWPSAKRW29.0005.01171800.1020) ENDED IN ERROR 1020 tiludv"
"125","F161 Sys. Mgm. EDW","JOB EWCSDE09 (EWPSAKDE09.0010.01181800.JCL) ENDED IN ERROR JCL tiludv"
"126","F161 Sys. Mgm. EDW","JOB EWCSDW04 (EWPSAKSDW04.0005.01201800.U02B) ENDED IN ERROR U02B tiludv"
"127","F161 Sys. Mgm. EDW","JOB EWCSIP00 (EWPSAKIP00.0005.01201800.1000) ENDED IN ERROR 1000 tiludv"
"128","F161 Sys. Mgm. EDW","JOB EWCRRW12 (EWPSAKRW12.0010.01211800.JCL) ENDED IN ERROR JCL tiludv"
"129","F162 Sys. Mgm. Quality Assurance","JOB QWCQI320 (EWPSAKI320.0003.01261800.1020) ENDED IN ERROR 1020 tiludv"
"130","F161 Sys. Mgm. EDW","JOB EWCRSI09 (EWPSAKSR09.0005.01261800.U0BD) ENDED IN ERROR U0BD tiludv"
"131","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFKDF1 (ZWPULFAKOR0BDEX.0062.02010600.0012) ENDED IN ERROR 0012 tiludv"
"132","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFVKK1 (ZWCDGFAKORZPA.0073.01300600.OSUF) ENDED IN ERROR OSUF tiludv"
"133","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCLO191 (ZWPULFACTKTRA.0035.02010600.0004) ENDED IN ERROR 0004 tiludv"
"134","F161 Sys. Mgm. EDW","JOB EWCLIFT1 (EWPLITHTODWH01.0005.02011800.JCL) ENDED IN ERROR JCL tiludv"
"135","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCLOA4A (ZWCFACTMPRNEW.0070.02030600.0004) ENDED IN ERROR 0004"
"136","F162 Sys. Mgm. Quality Assurance","JOB QWCODGFO (QWCODGFOZPA.0005.02010600.U3E7) ENDED IN ERROR U3E7 tiludv"
"137","F161 Sys. Mgm. EDW","JOB EWCRAC16 (EWPSACAC16.0010.02081800.1613) ENDED IN ERROR 1613 tiludv"
"138","F161 Sys. Mgm. EDW","JOB EWCFWD02 (EWPCPYWD02.0010.02091800.1954) ENDED IN ERROR 1954 tiludv"
"139","F162 Sys. Mgm. Quality Assurance","JOB SICE0972 (SIPASSETSENDQA1.0025.02161800.1000) ENDED IN ERROR 1000 tiludv"
"140","F161 Sys. Mgm. EDW","JOB EWCSVE01 (EWPSAKVE01.0010.02191800.0012) ENDED IN ERROR 0012 tiludv"
"141","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFGY3F (ZWCULFACTZPA.0133.02200600.0012) ENDED IN ERROR 0012 tiludv"
"142","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFVN61 (ZWCDGFAKORZPA.0082.02270600.0002) ENDED IN ERROR 0002 tiludv"
"143","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFDELF (ZWPDECRAPP.0010.02270600.JCL) ENDED IN ERROR JCL tiludv"
"144","F161 Sys. Mgm. EDW","JOB EWCSKK07 (EWPSAKKK07.0005.02271800.S04E) ENDED IN ERROR S04E tiludv"
"145","F162 Sys. Mgm. Quality Assurance","JOB QWCQLK19 (EWPSAKLK19.0005.02291800.U005) ENDED IN ERROR U005 tiludv"
"146","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFKKR4 (ZWPULFAKOR0BDEX.0030.03010600.0012) ENDED IN ERROR 0012 tiludv"
"147","F161 Sys. Mgm. EDW","JOB EWCSCT01 (EWPSAKCAALL.0010.02291800.1381) ENDED IN ERROR 1381"
"148","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFKN61 (ZWCULFAK1ZPA.0032.03010600.0002) ENDED IN ERROR 0002 tiludv"
"149","F162 Sys. Mgm. Quality Assurance","Z1DBPO11I DEPKMSTR  DSNR035I  -DEPK D"
"150","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCLGF09 (ZWPDGLGDSBA.0025.03040600.0012) ENDED IN ERROR 0012 tiludv"
"151","F161 Sys. Mgm. EDW","JOB EWCSVE02 (EWPSAKVE02.0010.03041800.1008) ENDED IN ERROR 1008 tiludv"
"152","F161 Sys. Mgm. EDW","JOB EGDRTLOA (EGPRENTEEKSPORT.0025.03041800.S04E) ENDED IN ERROR S04E tiludv"
"153","F161 Sys. Mgm. EDW","JOB EWCSDW56 (EWPSAKDW56.0005.03091800.S04E) ENDED IN ERROR S04E tiludv"
"154","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCSCOR7 (ZWCSCORENFEBO.0035.03100600.1000) ENDED IN ERROR 1000 tiludv"
"155","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCLGF02 (ZWPDGLGDIRL.0025.03100600.0012) ENDED IN ERROR 0012 tiludv"
"156","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCSSK29 (ZWPDGSKEMAHIER.0065.03120600.U02E) ENDED IN ERROR U02E tiludv"
"157","F161 Sys. Mgm. EDW","JOB EWCFMY05 (EWPCPYMY05.0005.02261800.JCL) ENDED IN ERROR JCL tiludv"
"158","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCEVLG1 (ZWCDGFACTSIDU.0071.03190600.0008) ENDED IN ERROR 0008 tiludv"
"159","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFVYPG (ZWCDGFAKORZPA.0102.03190600.JCLI) ENDED IN ERROR JCLI tiludv"
"160","F161 Sys. Mgm. EDW","JOB EWCKOMP1 (EWPCPYMY05.0003.03211800.U02B) ENDED IN ERROR U02B tiludv"
"161","F161 Sys. Mgm. EDW","JOB EWCRAC18 (EWPSACAC18.0010.03221800.1613) ENDED IN ERROR 1613 tiludv"
"162","F161 Sys. Mgm. EDW","JOB EWCSDX03 (EWPSAKDX03.0010.03231800.1008) ENDED IN ERROR 1008 tiludv"
"163","F161 Sys. Mgm. EDW","JOB EWCCLGD1 (EWPACCLEANUP.0005.03280600.JCL) ENDED IN ERROR JCL tiludv"
"164","F161 Sys. Mgm. EDW","JOB EGC21D21 (EGP21000DAGLIG.0061.04011800.0012) ENDED IN ERROR 0012 tiludv"
"165","F161 Sys. Mgm. EDW","JOB EGC21D22 (EGP21000DAGLIG.0062.04011800.0012) ENDED IN ERROR 0012 tiludv"
"166","F161 Sys. Mgm. EDW","JOB EGC23004 (EGPKTOSALDO.0014.04041800.0012) ENDED IN ERROR 0012 tiludv"
"167","F162 Sys. Mgm. Quality Assurance","JOB QWCODGFO (QWCODGFOZPA.0005.04010600.JCL) ENDED IN ERROR JCL tiludv"
"168","F163 Sys. Mgm. EDW Infrastructure","TILA Group was wrongly updating and approved by ID C000054"
"169","F161 Sys. Mgm. EDW","JOB EWCSBJ03 (EWPSAKBJ03.0010.03081801.JCLI) ENDED IN ERROR JCLI tiludv"
"170","F162 Sys. Mgm. Quality Assurance","JOB QWCFEG10 (QWPFEG10.0005.04110600.U3E7) ENDED IN ERROR U3E7 tiludv"
"171","F162 Sys. Mgm. Quality Assurance","JOB QWCF0002 (QWPF0002ZPAOD.0040.04110600.U3E7) ENDED IN ERROR U3E7 tiludv"
"172","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFAKU1 (ZWCDGFACZPA.0120.04090600.0012) ENDED IN ERROR 0012 tiludv"
"173","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCEULG1 (ZWPULFAKSIDU.0141.04120600.0008) ENDED IN ERROR 0008"
"174","F162 Sys. Mgm. Quality Assurance","JOB QWCF0210 (QWPENDTOEND.0095.04060600.JCL) ENDED IN ERROR JCL tiludv"
"175","F162 Sys. Mgm. Quality Assurance","JOB QWCF0342 (QWPFCREDCOCD.0010.04110600.U3E7) ENDED IN ERROR U3E7 tiludv"
"176","F161 Sys. Mgm. EDW","JOB EWCSEJ01 (EWPSAKEJALL.0010.04201800.JCL) ENDED IN ERROR JCL tiludv"
"177","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFRE01 (ZWCDGFACZPA.0122.04200600.U02E) ENDED IN ERROR U02E tiludv"
"178","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFFORR (ZWCDGFACZPA.0130.04230600.0002) ENDED IN ERROR 0002 tiludv"
"179","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFKDF1 (ZWPULFAKOR0BDEX.0062.05020600.0012) ENDED IN ERROR 0012 tiludv"
"180","F161 Sys. Mgm. EDW","JOB EWCRAC10 (EWPSACAC10.0010.05021800.1613) ENDED IN ERROR 1613 tiludv"
"181","F162 Sys. Mgm. Quality Assurance","PROGRAM=QWRAP057,ABENDCODE=AD2R     T"
"182","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFPK24 (ZWCULFAKNPV.0020.05090600.0012) ENDED IN ERROR 0012 tiludv"
"183","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCKOMB1 (ZWCDGKUNDEZPA.0054.05070600.0014) ENDED IN ERROR 0014 tiludv"
"184","F161 Sys. Mgm. EDW","JOB EWC824LO (EWP82000DAGLIG.0060.05061800.0008) ENDED IN ERROR 0008 tiludv"
"185","F162 Sys. Mgm. Quality Assurance","JOB QWCF0315 (QWPF0300.0020.05090600.JCL) ENDED IN ERROR JCL tiludv"
"186","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCEULG1 (ZWPULFAKSIDU.0141.05130600.0008) ENDED IN ERROR 0008 tiludv"
